bondlength	fci0	energy0	error0	fci1	energy1	error1
0.5	-452.6075482582545	-452.6073095863391	0.0002386719153832928	-451.38403755231957	-451.3837705825292	0.0002669697903456836
0.53	-452.9744771613441	-452.9742951096434	0.00018205170073315458	-451.794888472621	-451.7947017550474	0.00018671757356969465
0.56	-453.28580948425895	-453.2856736379751	0.00013584628385387987	-452.13663860077486	-452.1365139408693	0.00012465990556620454
0.59	-453.55183185876035	-453.55173279191786	9.906684249472164e-05	-452.4251435881407	-452.42506202525885	8.156288186000893e-05
0.62	-453.7806607653946	-453.7805892514221	7.151397250027003e-05	-452.6729294836753	-452.67287536246397	5.412121134895642e-05
0.65	-453.97853416036037	-453.9784814664692	5.269389117756873e-05	-452.88934323650346	-452.88930528998424	3.794651922817138e-05
0.6799999999999999	-454.1502209689409	-454.15017943691987	4.153202104362208e-05	-453.0810468898215	-453.08101756854177	2.932127972599119e-05
0.71	-454.29942713072285	-454.2993906254737	3.650524917020448e-05	-453.2526634375372	-453.25263805458655	2.53829506391412e-05
0.74	-454.42912013008265	-454.4290841940075	3.5936075164499925e-05	-453.4073953545122	-453.4073711592174	2.4195294770379405e-05
0.77	-454.54175497035936	-454.5417167141325	3.825622684416885e-05	-453.54751919763197	-453.547494700177	2.449745494459421e-05
0.8	-454.6394187447858	-454.63937656655395	4.217823186536407e-05	-453.6747349226158	-453.67470942673447	2.549588134570513e-05
0.83	-454.72391949885684	-454.72387276020305	4.673865379345443e-05	-453.7903904738615	-453.7903637722618	2.6701599722400715e-05
0.86	-454.79684112527235	-454.7967898398317	5.1285440633819235e-05	-453.8956156012534	-453.8955877643366	2.7836916785872745e-05
0.89	-454.85957905271925	-454.8595236292897	5.5423429557777126e-05	-453.9913966154863	-453.99136785332695	2.8762159331563453e-05
0.9199999999999999	-454.91336553542897	-454.913306598678	5.893675097468076e-05	-454.07861598772854	-454.0785865692118	2.9418516760415514e-05
0.95	-454.9592893296099	-454.959227589052	6.174055789642807e-05	-454.1580726741242	-454.15804293746066	2.9736663520907314e-05
0.98	-454.99831216219883	-454.9982483328747	6.382932411952424e-05	-454.23049277462593	-454.2304630006971	2.9773928815757245e-05
1.01	-455.0312831193124	-455.0312178779323	6.524138007080182e-05	-454.29653587609886	-454.29650628989117	2.958620768822584e-05
1.04	-455.05895145670956	-455.05888541405585	6.60426537137937e-05	-454.356799797385	-454.35677066809416	2.9129290851415135e-05
1.0699999999999998	-455.0819780611208	-455.08191175492493	6.630619589031994e-05	-454.41182495069484	-454.41179644146894	2.850922589914262e-05
1.1	-455.10094568978786	-455.10087958300085	6.610678701690631e-05	-454.46209874272915	-454.4620709042598	2.783846935017209e-05
1.13	-455.1163680880989	-455.1163025745683	6.551353061468035e-05	-454.5080600654389	-454.50803319473624	2.6870702640735544e-05
1.16	-455.1286980830069	-455.1286334958402	6.458716671886577e-05	-454.5501037811732	-454.5500778965156	2.588465764574721e-05
1.19	-455.1383347517209	-455.13827135069545	6.340102544299953e-05	-454.58858507631015	-454.5885602287881	2.4847522070103878e-05
1.22	-455.14562976373185	-455.14556776572465	6.199800719741688e-05	-454.6238235768507	-454.62379980368894	2.377316178581168e-05
