bondlength	fci0	energy0	error0	fci1	energy1	error1
0.5	-452.6075482582545	-452.60710905678803	0.00043920146646314606	-451.38403755231957	-451.38367750891126	0.0003600434083068649
0.53	-452.97447716134434	-452.97343032743584	0.001046833908503686	-451.7948884726212	-451.7947040949438	0.00018437767738532784
0.56	-453.2858094842586	-453.2814439377442	0.004365546514407015	-452.1366386007744	-452.1365199065237	0.0001186942507160893
0.59	-453.55183185876035	-453.5501265655677	0.0017052931926286874	-452.4251435881408	-452.42506062758406	8.296055676737524e-05
0.62	-453.78066076539466	-453.78028893146467	0.0003718339299894069	-452.672929483676	-452.67282795855414	0.00010152512186323293
0.65	-453.9785341603602	-453.9784374506695	9.670969069475177e-05	-452.88934323650324	-452.88926394262825	7.92938749896166e-05
0.6799999999999999	-454.1502209689409	-454.1456775517808	0.00454341716010731	-453.08104688982155	-453.0810169759214	2.9913900164046936e-05
0.71	-454.29942713072273	-454.2984554400018	0.0009716907209167402	-453.2526634375372	-453.2524362569516	0.0002271805855684761
0.74	-454.429120130083	-454.42883808772615	0.0002820423568437036	-453.4073953545124	-453.4071631905112	0.00023216400120418257
0.77	-454.54175497035965	-454.5413506404457	0.00040432991391980977	-453.5475191976326	-453.54740555128456	0.00011364634804067464
0.8	-454.63941874478564	-454.6339379197721	0.0054808250135351955	-453.6747349226159	-453.6747118084875	2.3114128453016747e-05
0.83	-454.72391949885696	-454.7235878923455	0.00033160651145180964	-453.7903904738615	-453.7903545796623	3.5894199243102776e-05
0.86	-454.7968411252719	-454.7958180707575	0.0010230545144054304	-453.8956156012527	-453.89513487679596	0.0004807244567359703
0.89	-454.85957905271937	-454.85942555369564	0.00015349902372463475	-453.99139661548605	-453.9912696169059	0.0001269985801286566
0.9199999999999999	-454.9133655354288	-454.9131324747245	0.0002330607043177224	-454.07861598772865	-454.0772376951661	0.001378292562549177
0.95	-454.95928932961016	-454.95919774503307	9.15845770919077e-05	-454.15807267412475	-454.1580432845899	2.9389534859092237e-05
0.98	-454.9983121621989	-454.99801011240345	0.0003020497954366874	-454.23049277462593	-454.2304593738389	3.3400787003756705e-05
1.01	-455.0312831193124	-455.0308508586222	0.00043226069016100155	-454.29653587609914	-454.2965063280102	2.9548088946285134e-05
1.04	-455.0589514567097	-455.05812912810364	0.0008223286060342616	-454.3567997973853	-454.35676029262686	3.950475843339518e-05
