bondlength	fci0	energy0	error0	fci1	energy1	error1
0.5	-452.60754825825467	-452.60730770860954	0.00024054964512743027	-451.3840375523198	-451.3837704107533	0.0002671415664963206
0.53	-452.97447716134457	-452.974291276219	0.00018588512557471404	-451.7948884726218	-451.794701346058	0.00018712656378738757
0.56	-453.2858094842587	-453.28566965830623	0.00013982595248762664	-452.13663860077463	-452.13651395207773	0.00012464869689665647
0.59	-453.55183185876	-453.5517287237125	0.00010313504753867164	-452.4251435881408	-452.4250623993986	8.118874222873274e-05
0.62	-453.7806607653947	-453.78058462771133	7.613768337932925e-05	-452.6729294836762	-452.6728753377732	5.41459030500846e-05
0.65	-453.9785341603601	-453.9784675896954	6.657066467141703e-05	-452.8893432365032	-452.8893046962093	3.85402938718471e-05
0.6799999999999999	-454.1502209689409	-454.15017024150313	5.07274377810063e-05	-453.0810468898214	-453.0810165207127	3.0369108685590618e-05
0.71	-454.29942713072273	-454.29937941155066	4.7719172073357186e-05	-453.25266343753725	-453.2526331845164	3.025302083869974e-05
0.74	-454.42912013008254	-454.4290769114544	4.3218628150043514e-05	-453.407395354512	-453.40737051965385	2.4834858152189554e-05
0.77	-454.54175497035965	-454.5417034925458	5.147781382675021e-05	-453.5475191976325	-453.5474946540485	2.4543584004277363e-05
0.8	-454.6394187447856	-454.6393594488237	5.929596187570496e-05	-453.6747349226158	-453.67470939452005	2.5528095761728764e-05
0.83	-454.72391949885696	-454.7238686416455	5.085721147679578e-05	-453.790390473862	-453.79036383479763	2.66390643446357e-05
0.86	-454.7968411252721	-454.79677274389184	6.838138028797403e-05	-453.89561560125316	-453.8955874468146	2.815443855297417e-05
0.89	-454.85957905271914	-454.859518870312	6.018240713956402e-05	-453.9913966154861	-453.991367758654	2.8856832102519547e-05
0.9199999999999999	-454.91336553542874	-454.91330419023336	6.134519537681626e-05	-454.0786159877284	-454.07858652304225	2.946468617892606e-05
0.95	-454.95928932960993	-454.9592269261964	6.240341355123746e-05	-454.1580726741247	-454.15804290754886	2.9766575835310505e-05
0.98	-454.9983121621988	-454.9982329836455	7.917855327832513e-05	-454.23049277462565	-454.2304713772216	2.139740405482371e-05
1.01	-455.03128311931243	-455.0308338875281	0.00044923178433009525	-454.29653587609914	-454.29650635230473	2.9523794410124538e-05
1.04	-455.0589514567097	-455.0588816747117	6.978199797913476e-05	-454.3567997973848	-454.35677024546646	2.955191831688353e-05
1.0699999999999998	-455.0819780611208	-455.0818995890936	7.847202721222857e-05	-454.41182495069495	-454.411796824162	2.8126532924943604e-05
1.1	-455.1009456897881	-455.10086986055603	7.582923205973202e-05	-454.46209874272944	-454.4620701784525	2.856427693131991e-05
1.13	-455.11636808809885	-455.11629569774294	7.239035591055654e-05	-454.50806006543894	-454.5080328026108	2.7262828155016905e-05
1.16	-455.1286980830063	-455.1282058984725	0.0004921845338117237	-454.5501037811728	-454.55007798850073	2.5792672090574342e-05
1.19	-455.13833475172146	-455.13826319824625	7.155347520892974e-05	-454.58858507631066	-454.5885601815094	2.4894801242680842e-05
1.22	-455.1456297637316	-455.1452878816179	0.0003418821137302075	-454.6238235768507	-454.6237992361477	2.4340703021152876e-05
1.25	-455.1508929886624	-455.15055260575616	0.0003403829062449404	-454.65610715474696	-454.656085699895	2.1454851946600684e-05
1.28	-455.1543974542102	-455.15433560350186	6.18507083345321e-05	-454.6856953886564	-454.6856720774125	2.331124392185302e-05
1.31	-455.15638372913315	-455.15631461087645	6.911825670385952e-05	-454.7128226706377	-454.71280202576014	2.064487756570088e-05
1.3399999999999999	-455.15706379724907	-455.15700708676	5.6710489047873125e-05	-454.737700969712	-454.73739405501163	0.0003069147003884609
1.37	-455.15662448028263	-455.1565466910935	7.778918910616994e-05	-454.7605222750788	-454.76050285153434	1.9423544472374488e-05
1.4	-455.1552304604255	-455.15517259263174	5.786779377103812e-05	-454.7814607478454	-454.7814425071748	1.8240670613067778e-05
1.43	-455.15302694749823	-455.15297378181845	5.316567978752573e-05	-454.8006746122273	-454.80065583762945	1.8774597833726148e-05
1.46	-455.15014203047303	-454.818292257403	0.3318497730700187	-454.8183078167235	-455.1500886658943	0.33178084917079786
1.49	-455.1466887486109	-455.14645098754704	0.00023776106388595508	-454.8344914939542	-454.834476857877	1.4636077196428232e-05
1.52	-455.1427669134345	-455.14271774387515	4.916955936096201e-05	-454.84934524530127	-454.84928629505714	5.895024412438943e-05
1.55	-455.13846470909994	-455.1382502354189	0.00021447368101235043	-454.86297827372454	-454.8629652485818	1.3025142720834992e-05
1.58	-455.1338600954254	-455.1338192734841	4.08219412975086e-05	-454.8754903853593	-454.8754773091623	1.307619697854534e-05
1.6099999999999999	-455.12902203488505	-455.12897775499937	4.427988568522778e-05	-454.8869728778497	-454.88696134691577	1.1530933932135667e-05
1.64	-455.1240115622976	-455.12384412440923	0.00016743788836492968	-454.8975093309585	-454.89749784879496	1.1482163529308309e-05
1.67	-455.1188827137235	-455.1188422944113	4.041931219944672e-05	-454.907176312717	-454.90716350451726	1.28081997559093e-05
1.7	-455.1136833293007	-455.11351336376777	0.00016996553296166894	-454.91604401242324	-454.9159702550045	7.375741876103348e-05
1.73	-455.10845574329073	-455.1084200526266	3.569066410591404e-05	-454.9241768099834	-454.92416644291797	1.0367065442551393e-05
1.76	-455.1032373735504	-455.1030849530735	0.00015242047692254346	-454.9316337895812	-454.9316248249415	8.964639732766955e-06
1.79	-455.0980612218198	-455.09801775409784	4.3467721980050555e-05	-454.9384692043111	-454.93846026661896	8.937692143717868e-06
1.8199999999999998	-455.0929562956987	-455.09270855743443	0.00024773826424961953	-454.94473289731997	-454.94472445652605	8.440793919817224e-06
1.8499999999999999	-455.0879479627735	-455.08781978021045	0.00012818256305990872	-454.95047068408354	-454.9504632370168	7.447066764143528e-06
1.88	-455.08305824708464	-455.0829730193415	8.522774311359171e-05	-454.95572469972467	-454.95571749313393	7.206590737496299e-06
1.91	-455.0783060778376	-455.0771429453459	0.0011631324917402708	-454.9605337146774	-454.9605591141478	2.539947041668711e-05
1.94	-455.07370749994726	-455.0735822661014	0.00012523384583573716	-454.96493342158016	-454.9648947972971	3.862428303591514e-05
1.97	-455.0692758555647	-454.9689502136983	0.10032564186639092	-454.9689566959338	-455.0692496515416	0.10029295560781293
2.0	-455.0650219451171	-455.0649260794865	9.586563061247944e-05	-454.9726338327795	-454.9726268217463	7.011033176240744e-06
